"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158948","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67284","109032","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67156","109160","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","158832","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68436","108920","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68444","108808","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","158832","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84308","108784","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","125424","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67432","158952","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68560","108784","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108664","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","158816","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108896","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67284","142448","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68456","108800","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","108776","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","158808","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67512","108776","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108784","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","159080","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67160","109168","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67436","108768","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158960","150","155"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68440","108784","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","108796","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158824","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67432","108776","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","159208","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67424","108792","100","104"
