"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51412","141544","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","91232","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53728","108008","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51548","158184","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51676","91112","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53600","108128","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51684","141312","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51284","91616","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53848","872","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","47960","158184","150","150"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51688","91128","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53844","107904","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","141416","150","152"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","107880","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","108008","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","158064","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52700","91128","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53720","108008","110","115"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52824","157928","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","91264","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","107896","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","158184","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","91248","100","101"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","108016","110","115"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","158192","150","152"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","91112","100","103"
