"","showlatency","hidelatency","delay"
"168",61.456,1003.496,1000
"169",68.264,52.888,50
"170",56.336,102.396,100
"171",63.16,121.16,110
"172",61.448,1001.816,1000
"173",51.224,73.336,50
"174",52.944,119.448,100
"175",63.164,119.456,110
"176",61.46,1003.496,1000
"177",52.944,68.2,50
"178",56.352,102.384,100
"179",63.152,121.16,110
"180",61.452,1005.208,1000
"181",64.868,52.864,50
"182",56.348,102.4,100
"183",63.16,121.148,110
"184",61.46,1005.204,1000
"185",66.572,52.864,50
"186",54.632,104.096,100
"187",61.464,119.44,110
"188",63.152,1005.236,1000
"189",66.572,54.576,50
"190",54.648,104.1,100
"191",61.46,117.752,110
"192",63.164,1005.212,1000
"193",66.568,52.872,50
"194",54.624,104.104,100
"195",63.16,122.864,110
"196",58.06,1001.776,1000
"197",52.924,54.592,50
"198",54.644,104.096,100
"199",61.452,119.456,110
"200",63.156,1003.528,1000
"201",66.58,52.88,50
"202",56.352,102.4,100
"203",63.152,104.096,110
"204",61.452,1001.812,1000
"205",52.936,73.328,50
"206",52.936,119.456,100
"207",61.456,119.456,110
"208",63.172,1003.496,1000
"209",68.308,52.864,50
"210",54.624,104.096,100
"211",63.152,122.88,110
"212",58.04,1001.8,1000
"213",52.944,54.552,50
"214",54.636,105.804,100
"215",59.744,119.448,110
"216",63.16,1005.216,1000
"217",64.888,54.56,50
"218",54.64,104.096,100
"219",61.456,119.456,110
"220",63.152,1003.52,1000
"221",68.292,51.152,50
"222",56.336,105.812,100
"223",59.752,122.864,110
"224",59.736,1005.228,1000
"225",66.572,51.16,50
"226",58.036,105.816,100
"227",59.744,119.456,110
"228",61.456,1005.204,1000
"229",66.584,52.856,50
"230",56.344,104.092,100
"231",61.464,119.428,110
"232",61.468,1001.792,1000
"233",52.932,73.336,50
"234",52.936,119.46,100
"235",61.448,122.864,110
"236",59.74,1001.808,1000
"237",52.936,73.344,50
"238",52.944,117.74,100
"239",63.164,122.872,110
"240",59.744,1003.504,1000
"241",68.272,52.872,50
"242",56.34,102.4,100
"243",63.18,117.728,110
"244",63.16,1003.504,1000
"245",68.264,52.872,50
"246",56.34,105.824,100
"247",59.756,119.44,110
"248",61.452,1003.512,1000
"249",51.228,73.332,50
"250",52.936,119.456,100
"251",63.152,122.88,110
"252",58.06,1003.496,1000
"253",52.932,68.224,50
"254",56.356,102.384,100
"255",63.156,119.48,110
"256",63.164,1005.208,1000
"257",64.864,54.572,50
"258",54.632,104.1,100
"259",61.46,119.456,110
"260",61.452,1003.512,1000
"261",52.948,54.56,50
"262",52.94,104.08,100
"263",63.152,117.76,110
"264",63.172,1003.504,1000
"265",68.272,52.872,50
"266",56.348,102.392,100
"267",63.156,117.768,110
"268",63.172,1005.216,1000
"269",66.564,52.872,50
"270",56.336,102.4,100
"271",63.168,117.752,110
"272",63.152,1003.512,1000
"273",68.268,52.88,50
"274",56.348,102.4,100
"275",63.172,121.16,110
"276",61.464,1001.784,1000
"277",69.968,54.6,50
"278",52.932,119.464,100
"279",63.16,119.456,110
"280",61.452,1003.516,1000
"281",52.928,68.208,50
"282",56.352,102.38,100
"283",63.176,122.844,110
"284",59.752,1001.792,1000
"285",52.928,71.632,50
"286",52.944,122.86,100
"287",59.768,119.432,110
"288",63.152,1003.52,1000
"289",68.256,51.184,50
"290",56.352,107.504,100
"291",58.052,121.152,110
"292",61.456,1001.792,1000
"293",69.984,56.28,50
"294",68.284,102.4,100
"295",63.164,119.464,110
"296",63.168,1001.792,1000
"297",52.944,68.2,50
"298",58.06,105.8,100
"299",58.036,119.468,110
"300",63.192,1003.476,1000
"301",68.272,51.152,50
"302",58.052,105.8,100
"303",58.048,121.16,110
"304",61.452,1001.792,1000
"305",52.932,73.344,50
"306",68.288,104.104,100
"307",63.156,117.752,110
"308",63.16,1005.2,1000
"309",66.58,52.864,50
"310",56.348,104.096,100
"311",61.452,117.752,110
"312",63.16,1005.208,1000
"313",66.572,52.872,50
"314",56.352,102.392,100
"315",63.148,121.172,110
"316",61.468,1001.776,1000
"317",68.284,54.568,50
"318",54.636,122.872,100
"319",58.048,122.856,110
"320",59.752,1001.792,1000
"321",52.932,69.912,50
"322",56.356,102.392,100
"323",63.156,121.184,110
"324",61.472,1001.768,1000
"325",68.284,54.576,50
"326",54.636,104.1,100
"327",61.468,119.44,110
"328",61.444,1003.504,1000
"329",69.98,54.584,50
"330",52.936,119.452,100
"331",63.156,122.876,110
"332",58.04,1003.512,1000
"333",69.996,51.164,50
"334",56.332,102.396,100
"335",63.152,122.88,110
"336",59.756,1001.796,1000
"337",69.98,54.576,50
"338",54.632,117.76,100
"339",63.168,119.44,110
"340",61.452,1003.528,1000
"341",68.256,52.896,50
"342",56.356,102.384,100
